timestamp,hash-rate,difficulty
2021-03-10,158863750.91842875,21448277761060.0
2021-03-11,140738356.51833954,21448277761060.0
2021-03-12,159929950.58902222,21448277761060.0
2021-03-13,152466552.89486787,21448277761060.0
2021-03-14,167393348.28317663,21448277761060.0
2021-03-15,157797551.24783528,21448277761060.0
2021-03-16,158863750.91842875,21448277761060.0
2021-03-17,145003155.2007135,21448277761060.0
2021-03-18,162062349.9302092,21448277761060.0
2021-03-19,158357615.36380938,21524403218194.305
2021-03-20,167389189.0439892,21865558044611.0
2021-03-21,169563074.61598912,21865558044611.0
2021-03-22,164128360.68598944,21865558044611.0
2021-03-23,174997788.54598877,21865558044611.0
2021-03-24,165215303.47198936,21865558044611.0
2021-03-25,167389189.0439892,21865558044611.0
2021-03-26,147824218.8959905,21865558044611.0
2021-03-27,172823902.97398886,21865558044611.0
2021-03-28,172823902.97398886,21865558044611.0
2021-03-29,164128360.68598944,21865558044611.0
2021-03-30,158693646.7559898,21865558044611.0
2021-03-31,170650017.401989,21865558044611.0
2021-04-01,157606703.96998987,21865558044611.0
2021-04-02,160517766.38346806,23064760716651.37
2021-04-03,150672055.73110902,23137439666472.0
2021-04-04,167924581.1965032,23137439666472.0
2021-04-05,179426264.84009933,23137439666472.0
2021-04-06,165624244.467784,23137439666472.0
2021-04-07,180576433.20445892,23137439666472.0
2021-04-08,154122560.82418784,23137439666472.0
2021-04-09,174825591.38266087,23137439666472.0
2021-04-10,180576433.20445892,23137439666472.0
2021-04-11,166774412.8321436,23137439666472.0
2021-04-12,165624244.467784,23137439666472.0
2021-04-13,163323907.73906472,23137439666472.0
2021-04-14,155272729.1885475,23137439666472.0
2021-04-15,198514005.70963436,23217560568175.21
2021-04-16,120743465.5644424,23581981443664.0
2021-04-17,106676265.69285686,23581981443664.0
2021-04-18,145361065.33971703,23581981443664.0
2021-04-19,113709865.62864962,23581981443664.0
2021-04-20,150050131.96357888,23581981443664.0
2021-04-21,118398932.25251147,23581981443664.0
2021-04-22,167634131.8030608,23581981443664.0
2021-04-23,158255998.5553371,23581981443664.0
2021-04-24,169978665.11499172,23581981443664.0
2021-04-25,165289598.49112985,23581981443664.0
2021-04-26,133638398.78006244,23581981443664.0
2021-04-27,166461865.14709532,23581981443664.0
