,date,wallet_address,sent_amount_btc,received_amount_btc,net
2956,2017-04-15 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00866429,-0.00866429
2955,2017-05-17 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00100287,-0.00100287
2954,2017-06-03 13:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0003,-0.0003
2952,2017-06-19 13:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2953,2017-06-19 13:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2951,2017-06-21 00:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001,-0.001
7280,2017-06-21 04:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,0.0001,-0.0001
2950,2017-06-21 07:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,5.43e-05,-5.43e-05
2949,2017-06-29 10:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2948,2017-07-03 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,7.98e-06,-7.98e-06
7279,2017-07-29 21:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,3557.10535159,2.08919466,3555.01615693
7278,2017-08-05 02:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1000.0,-1000.0
7277,2017-08-07 07:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1000.0,-1000.0
7276,2017-08-11 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,3852.97969182,2.95591419,3850.02377763
7275,2017-08-12 00:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7274,2017-08-12 02:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7273,2017-08-12 14:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7272,2017-08-12 16:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7271,2017-08-17 08:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7270,2017-08-17 12:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
2947,2017-08-24 06:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00122158,-0.00122158
2946,2017-08-27 06:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,4.444e-05,-4.444e-05
2945,2017-08-28 21:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001104,-0.0001104
2944,2017-08-30 05:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,9.11e-05,-9.11e-05
2943,2017-10-15 13:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2942,2017-10-15 22:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2941,2017-10-17 08:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2940,2017-10-20 09:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,5.46e-06,-5.46e-06
2939,2017-10-25 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00106341,-0.00106341
7268,2017-11-03 11:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7269,2017-11-03 11:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7267,2017-11-10 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,3000.0,-3000.0
2938,2017-11-16 04:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001,-0.001
7266,2017-11-17 04:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
2937,2017-11-17 22:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2936,2017-12-07 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00073,-0.00073
7265,2017-12-08 09:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7264,2017-12-08 23:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,2001.0,-2001.0
7263,2017-12-09 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,2001.0,-2001.0
2935,2017-12-09 16:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.007,-0.007
7262,2017-12-13 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1501.0,-1501.0
2934,2017-12-14 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0006,-0.0006
2933,2017-12-17 12:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
7261,2017-12-18 08:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
2932,2017-12-26 08:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00025312,-0.00025312
7260,2017-12-29 13:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,0.000117,-0.000117
2931,2018-01-21 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0002,-0.0002
7259,2018-02-02 10:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,2000.0,-2000.0
7258,2018-02-10 00:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1000.0,-1000.0
2930,2018-02-12 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,8.7e-06,-8.7e-06
2929,2018-02-20 20:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,8.73e-06,-8.73e-06
7257,2018-02-27 05:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
7256,2018-03-03 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,8.88e-06,-8.88e-06
7254,2018-03-03 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,8.88e-06,-8.88e-06
7255,2018-03-03 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
2928,2018-03-03 06:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,8.88e-06,-8.88e-06
2927,2018-03-03 16:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
7253,2018-03-07 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
2926,2018-03-11 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,7e-06,-7e-06
2925,2018-03-11 20:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00012345,-0.00012345
2924,2018-03-14 12:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0002,-0.0002
2923,2018-03-22 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
7252,2018-03-24 03:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1001.0,-1001.0
2920,2018-03-31 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,7.77e-06,-7.77e-06
2921,2018-03-31 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,9.11e-06,-9.11e-06
2922,2018-03-31 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,7.77e-06,-7.77e-06
7249,2018-03-31 03:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,9.11e-06,-9.11e-06
7250,2018-03-31 03:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,7.77e-06,-7.77e-06
7251,2018-03-31 03:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,7.77e-06,-7.77e-06
2919,2018-04-01 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,5.3e-05,-5.3e-05
2918,2018-04-06 05:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,7.65e-06,-7.65e-06
2917,2018-04-08 02:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,3.33e-05,-3.33e-05
2913,2018-04-09 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2914,2018-04-09 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2912,2018-04-09 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2911,2018-04-09 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2910,2018-04-09 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
