,date,sent_amount_btc,received_amount_btc,net
236,2018-08-30 23:00:00,0.0,1001.0,-1001.0
237,2018-09-05 23:00:00,0.0,2e-05,-2e-05
238,2018-09-06 02:00:00,0.0,501.0,-501.0
239,2018-09-07 01:00:00,0.0,2.664e-05,-2.664e-05
240,2018-09-08 04:00:00,0.0,1001.00001568,-1001.00001568
241,2018-09-08 19:00:00,0.0,8e-06,-8e-06
242,2018-09-09 01:00:00,0.0,1.212e-05,-1.212e-05
243,2018-09-09 02:00:00,0.0,1e-05,-1e-05
244,2018-09-13 06:00:00,0.0,6.66e-06,-6.66e-06
245,2018-09-15 15:00:00,0.0,0.0001,-0.0001
246,2018-09-17 23:00:00,0.0,1001.0,-1001.0
247,2018-09-19 06:00:00,0.0,1e-05,-1e-05
248,2018-09-23 02:00:00,0.0,501.0,-501.0
249,2018-09-25 17:00:00,0.0,1e-05,-1e-05
250,2018-10-06 05:00:00,0.0,1001.0,-1001.0
251,2018-10-11 01:00:00,0.0,1001.0,-1001.0
252,2018-10-12 01:00:00,0.0,3.42e-05,-3.42e-05
253,2018-10-16 14:00:00,0.0,6.67e-06,-6.67e-06
254,2018-10-18 10:00:00,0.0,5.79e-06,-5.79e-06
255,2018-10-18 16:00:00,0.0,1.334e-05,-1.334e-05
256,2018-10-21 23:00:00,0.0,1.332e-05,-1.332e-05
257,2018-10-23 00:00:00,0.0,1001.0,-1001.0
258,2018-10-23 20:00:00,0.0,2.664e-05,-2.664e-05
259,2018-10-25 12:00:00,0.0,1.554e-05,-1.554e-05
260,2018-10-28 13:00:00,0.0,1.11e-05,-1.11e-05
261,2018-10-29 02:00:00,0.0,2e-05,-2e-05
262,2018-10-29 03:00:00,0.0,7.77e-06,-7.77e-06
263,2018-10-31 12:00:00,0.0,500.0,-500.0
264,2018-11-03 07:00:00,0.0,0.00012,-0.00012
265,2018-11-03 08:00:00,0.0,1.11e-05,-1.11e-05
266,2018-11-03 23:00:00,0.0,0.0002001,-0.0002001
267,2018-11-10 18:00:00,0.0,1.332e-05,-1.332e-05
268,2018-11-11 05:00:00,0.0,0.0001,-0.0001
269,2018-11-13 16:00:00,0.0,1e-05,-1e-05
270,2018-11-13 23:00:00,0.01,0.01,0.0
271,2018-11-14 11:00:00,0.0,1000.0,-1000.0
272,2018-11-14 21:00:00,0.0,1.0,-1.0
273,2018-11-15 05:00:00,3887.33782839,2.32319563,3885.01463276
274,2018-11-15 06:00:00,0.0,0.00322099,-0.00322099
275,2018-11-15 15:00:00,0.0,20000.0,-20000.0
276,2018-11-15 17:00:00,20001.0,0.0,20001.0
277,2018-11-17 19:00:00,0.0,1.554e-05,-1.554e-05
278,2018-11-20 19:00:00,0.0,3.0,-3.0
279,2018-11-21 01:00:00,0.0,6.66e-06,-6.66e-06
280,2018-11-21 10:00:00,3.0,0.0,3.0
281,2018-11-21 15:00:00,0.0,8888.0,-8888.0
282,2018-11-23 12:00:00,8888.0,0.0,8888.0
283,2018-11-23 17:00:00,0.0,1.11e-05,-1.11e-05
284,2018-11-30 00:00:00,0.0,6.991e-05,-6.991e-05
285,2018-11-30 03:00:00,0.0,1.96e-05,-1.96e-05
286,2018-12-05 01:00:00,0.0,2.491e-05,-2.491e-05
287,2018-12-07 07:00:00,0.0,7.77e-06,-7.77e-06
288,2018-12-09 13:00:00,0.0,8.88e-06,-8.88e-06
289,2018-12-09 14:00:00,0.0,8.88e-06,-8.88e-06
290,2018-12-09 23:00:00,0.0,9.99e-06,-9.99e-06
291,2018-12-11 12:00:00,0.0,10888.0,-10888.0
292,2018-12-12 08:00:00,10888.0,0.0,10888.0
293,2018-12-20 01:00:00,0.0,723.67594159,-723.67594159
294,2018-12-23 09:00:00,0.0,4609.6104487,-4609.6104487
295,2018-12-27 20:00:00,0.0,0.00030162,-0.00030162
296,2018-12-28 09:00:00,0.0,512.24204049,-512.24204049
297,2018-12-28 23:00:00,0.0,2.739e-05,-2.739e-05
298,2018-12-29 04:00:00,0.0,10000.0,-10000.0
299,2018-12-29 05:00:00,0.0,2329.0875833,-2329.0875833
300,2018-12-31 19:00:00,0.0,4.038e-05,-4.038e-05
301,2019-01-05 07:00:00,0.0,1013.16926762,-1013.16926762
302,2019-01-05 10:00:00,0.0,9.832e-05,-9.832e-05
303,2019-01-07 15:00:00,10000.0,0.0,10000.0
304,2019-01-08 07:00:00,0.0,762.4491794,-762.4491794
305,2019-01-10 20:00:00,0.0,5.47e-06,-5.47e-06
306,2019-01-15 06:00:00,0.0,1785.15874882,-1785.15874882
307,2019-01-15 10:00:00,0.0,6.4e-05,-6.4e-05
308,2019-01-15 11:00:00,0.0,10000.0,-10000.0
309,2019-01-15 16:00:00,0.0,7.77e-06,-7.77e-06
310,2019-01-15 21:00:00,10000.00000777,0.0,10000.00000777
311,2019-01-18 05:00:00,0.0,1020.44856118,-1020.44856118
312,2019-01-22 04:00:00,0.0,2.824e-05,-2.824e-05
313,2019-01-22 05:00:00,0.0,0.00012345,-0.00012345
314,2019-01-23 02:00:00,0.0,1.0,-1.0
315,2019-01-23 05:00:00,0.0,868.57246085,-868.57246085
316,2019-01-25 05:00:00,1.0,0.0,1.0
317,2019-01-26 00:00:00,0.0,1012.68461166,-1012.68461166
318,2019-01-29 03:00:00,1020.44856118,0.0,1020.44856118
319,2019-01-29 08:00:00,0.0,885.69377484,-885.69377484
320,2019-01-31 02:00:00,0.0,20844.28490094,-20844.28490094
321,2019-02-01 03:00:00,5567.97795253,5567.40853415,0.5694183800000019
322,2019-02-02 00:00:00,0.0,1074.77555238,-1074.77555238
323,2019-02-03 00:00:00,0.0,2.02e-05,-2.02e-05
324,2019-02-04 05:00:00,0.0,1e-05,-1e-05
325,2019-02-05 07:00:00,0.0,908.79291358,-908.79291358
326,2019-02-07 01:00:00,0.0,10888.0,-10888.0
327,2019-02-09 02:00:00,0.0,855.25451131,-855.25451131
328,2019-02-13 01:00:00,0.0,1107.54977833,-1107.54977833
329,2019-02-15 13:00:00,0.0,0.999952,-0.999952
330,2019-02-16 06:00:00,0.0,811.26912202,-811.26912202
331,2019-02-17 12:00:00,0.0,5.52e-06,-5.52e-06
332,2019-02-20 05:00:00,0.0,1083.74102465,-1083.74102465
333,2019-02-22 07:00:00,0.0,1691.03811996,-1691.03811996
334,2019-02-24 08:00:00,10888.0,0.0,10888.0
335,2019-02-26 07:00:00,0.0,2194.59542834,-2194.59542834
336,2019-02-28 05:00:00,0.0,6.48e-06,-6.48e-06
337,2019-03-01 07:00:00,0.0,1717.15056506,-1717.15056506
338,2019-03-01 21:00:00,0.0,0.0002195,-0.0002195
339,2019-03-05 07:00:00,5567.40853415,7838.26476055,-2270.8562263999997
340,2019-03-07 00:00:00,0.0,0.00080819,-0.00080819
341,2019-03-08 07:00:00,0.0,1644.00592792,-1644.00592792
342,2019-03-13 00:00:00,0.0,2132.93307462,-2132.93307462
343,2019-03-15 01:00:00,0.0,2e-05,-2e-05
344,2019-03-15 06:00:00,0.0,1608.96816995,-1608.96816995
345,2019-03-15 17:00:00,0.0,1.092e-05,-1.092e-05
346,2019-03-15 18:00:00,0.0,0.0001,-0.0001
347,2019-03-16 08:00:00,0.0,5.46e-06,-5.46e-06
348,2019-03-17 06:00:00,0.0,5.46e-06,-5.46e-06
349,2019-03-19 06:00:00,0.0,2113.87480015,-2113.87480015
350,2019-03-21 17:00:00,0.0,2.184e-05,-2.184e-05
351,2019-03-22 05:00:00,0.0,925.18555096,-925.18555096
352,2019-03-22 07:00:00,0.0,5.46e-06,-5.46e-06
353,2019-03-26 03:00:00,4837.67760678,2337.67760678,2500.0
354,2019-03-26 07:00:00,0.0,1231.33347711,-1231.33347711
355,2019-03-27 20:00:00,0.0,5.46e-06,-5.46e-06
356,2019-03-29 05:00:00,0.0,932.07135897,-932.07135897
357,2019-03-30 01:00:00,0.0,5.4e-06,-5.4e-06
358,2019-03-30 04:00:00,3060.7906056300003,3054.0165045599997,6.77410107000037
359,2019-03-31 10:00:00,0.0,3.552e-05,-3.552e-05
360,2019-04-01 08:00:00,0.0,9.75e-06,-9.75e-06
361,2019-04-02 02:00:00,0.0,1.1e-05,-1.1e-05
362,2019-04-02 19:00:00,10888.0,10888.0,0.0
363,2019-04-02 23:00:00,0.0,1.5e-05,-1.5e-05
364,2019-04-03 01:00:00,0.0,10889.0,-10889.0
365,2019-04-05 03:00:00,0.0,6.096e-05,-6.096e-05
366,2019-04-06 01:00:00,0.0,0.00012955,-0.00012955
367,2019-04-06 13:00:00,0.0,1000.0,-1000.0
368,2019-04-06 19:00:00,0.0,700.0,-700.0
369,2019-04-07 16:00:00,0.0,6e-05,-6e-05
370,2019-04-07 18:00:00,0.0,1.092e-05,-1.092e-05
371,2019-04-08 02:00:00,0.0,1000.0,-1000.0
372,2019-04-08 06:00:00,0.0,0.000112,-0.000112
373,2019-04-08 10:00:00,0.0,6.66e-05,-6.66e-05
374,2019-04-08 15:00:00,0.0,0.00017507,-0.00017507
375,2019-04-08 19:00:00,0.0,0.0001094,-0.0001094
376,2019-04-09 20:00:00,0.0,8.416000000000001e-05,-8.416000000000001e-05
377,2019-04-10 01:00:00,0.0,0.0001105,-0.0001105
378,2019-04-10 06:00:00,10889.0,0.0,10889.0
379,2019-04-11 00:00:00,0.0,0.0001116,-0.0001116
380,2019-04-16 07:00:00,0.0,1.01e-05,-1.01e-05
381,2019-04-18 05:00:00,0.0,0.0001111,-0.0001111
382,2019-05-01 07:00:00,3054.01651344,3047.3345627199997,6.681950720000145
383,2019-05-05 01:00:00,0.0,0.00010795,-0.00010795
384,2019-05-08 07:00:00,0.0,0.0001044,-0.0001044
385,2019-05-13 06:00:00,0.899,1.69766926,-0.79866926
386,2019-05-13 07:00:00,0.7986638,0.79841385,0.0002499500000000543
387,2019-05-14 02:00:00,0.79841385,0.69796786,0.10044598999999999
388,2019-05-14 04:00:00,908.79291358,0.0,908.79291358
389,2019-05-14 07:00:00,0.0,8400.0,-8400.0
390,2019-05-14 08:00:00,0.0,5.46e-06,-5.46e-06
391,2019-05-14 17:00:00,0.0,1500.0,-1500.0
392,2019-05-15 16:00:00,0.0,800.0,-800.0
393,2019-05-16 06:00:00,0.0,1000.0,-1000.0
394,2019-05-18 06:00:00,0.0,1300.0,-1300.0
395,2019-05-18 12:00:00,0.0,1000.0,-1000.0
396,2019-05-19 09:00:00,0.0,1.234e-05,-1.234e-05
397,2019-05-20 11:00:00,0.0,1000.0,-1000.0
398,2019-05-21 00:00:00,0.0,1000.0,-1000.0
399,2019-05-21 13:00:00,0.0,1.822e-05,-1.822e-05
400,2019-05-23 05:00:00,0.0,900.0,-900.0
401,2019-05-26 03:00:00,0.0,0.00012436,-0.00012436
402,2019-05-28 05:00:00,0.0,1000.0,-1000.0
403,2019-05-28 23:00:00,0.0,1000.0,-1000.0
404,2019-05-29 18:00:00,0.0,66666.0,-66666.0
405,2019-05-31 00:00:00,0.0,1000.0,-1000.0
406,2019-05-31 18:00:00,66666.0,0.0,66666.0
407,2019-06-01 10:00:00,3047.3345627199997,3040.86369309,6.470869629999925
408,2019-06-04 10:00:00,400.0,399.99964034,0.0003596600000150829
409,2019-06-06 09:00:00,3003.0,2.9992634,3000.0007366
410,2019-06-06 14:00:00,399.99964034,399.99941555,0.0002247900000043046
411,2019-06-07 21:00:00,0.0,6.26e-05,-6.26e-05
412,2019-06-08 10:00:00,0.0,0.0002,-0.0002
413,2019-06-10 19:00:00,0.0,0.0001,-0.0001
414,2019-06-15 06:00:00,4001.0,1000.99949482,3000.00050518
415,2019-06-17 20:00:00,0.0,9001.0,-9001.0
416,2019-06-18 03:00:00,0.0,5.5e-06,-5.5e-06
417,2019-06-18 15:00:00,0.0,0.0025,-0.0025
418,2019-06-18 19:00:00,0.0,2e-05,-2e-05
419,2019-06-18 21:00:00,0.0,3.885e-05,-3.885e-05
420,2019-06-18 22:00:00,0.0,7.77e-06,-7.77e-06
421,2019-06-18 23:00:00,0.0,1000.0,-1000.0
422,2019-06-19 06:00:00,0.0,0.00014184,-0.00014184
423,2019-06-19 23:00:00,0.0,1001.0,-1001.0
424,2019-06-20 04:00:00,0.0,6.969e-05,-6.969e-05
425,2019-06-24 00:00:00,0.0,1001.0,-1001.0
426,2019-06-29 03:00:00,3040.86370086,3035.0210299,5.842670959999964
427,2019-06-29 12:00:00,0.0,8.788e-05,-8.788e-05
428,2019-07-01 01:00:00,0.0,7.77e-06,-7.77e-06
429,2019-07-09 12:00:00,4609.6104487,0.0,4609.6104487
430,2019-07-11 08:00:00,0.0,2e-05,-2e-05
431,2019-07-12 00:00:00,0.0,8.576e-05,-8.576e-05
432,2019-07-12 17:00:00,0.0,3000.0,-3000.0
433,2019-07-19 06:00:00,19035.00392536,19030.62326677,4.380658590000621
434,2019-07-23 19:00:00,0.0,1.641e-05,-1.641e-05
435,2019-07-29 17:00:00,0.0,8888.0,-8888.0
436,2019-07-29 20:00:00,8888.0,5887.99943569,3000.0005643100003
437,2019-07-30 12:00:00,5887.99943569,2387.99897361,3500.0004620799996
